スキル名,リアリティ,プラン,,コスト,説明,,,,,レッスン中1回,重複不可
,,,,,,,,,,,
,,,,,,,,,,,
アピールの基本,N,flee,active,4,パラメータ+9,,,,,,
アピールの基本+,N,flee,active,3,パラメータ+14,,,,,,
ポーズの基本,N,flee,active,3,パラメータ+2,元気+2,,,,,
ポーズの基本+,N,flee,active,3,パラメータ+6,元気+4,,,,,
表現の基本,N,flee,Mentaru,0,元気+4,,,,,レッスン中1回,
表現の基本+,N,flee,Mentaru,0,元気+7,,,,,レッスン中1回,
気合十分！,R,flee,Mentaru,0,元気+2,消費体力減少2ターン,,,,,
気合十分！+,R,flee,Mentaru,0,元気+2,消費体力減少3ターン,,,,,
ファーストステップ,R,flee,Mentaru,0,元気+3,体力が50%以上の場合、消費体力削減1,,,,レッスン中1回,重複不可
ファーストステップ+,R,flee,Mentaru,0,元気+6,体力が50%以上の場合、消費体力削減1,,,,レッスン中1回,重複不可
前途洋々,SR,flee,active,4,パラメーター+8,元気+7,,,,,
前途洋々+,SR,flee,active,4,パラメーター+12,元気+10,,,,,
アイドル宣言,SR,flee,Mentaru,,体力消費1,スキルカード使用数追加+1,スキルカードを2枚引く,,,レッスン中1回,重複不可
アイドル宣言+,SR,flee,Mentaru,0,スキルカード使用数追加+1,スキルカードを2枚引く,消費体力減少1ターン,,,レッスン中1回,重複不可
ハイテンション,SR,flee,Mentaru,0,元気+11,元気増加無効2ターン,消費体力減少3ターン,,,レッスン中1回,
ハイテンション+,SR,flee,Mentaru,0,元気+13,元気増加無効2ターン,消費体力減少4ターン,,,レッスン中1回,
テレビ出演,SSR,flee,Mentaru,1,元気+3,消費体力減少4ターン,,,,レッスン中1回,重複不可
テレビ出演+,SSR,flee,Mentaru,1,元気+5,消費体力減少5ターン,,,,レッスン中1回,重複不可
叶えたい夢,SSR,flee,Mentaru,,体力消費1,元気+8,消費体力削減1,,,レッスン中1回,重複不可
叶えたい夢+,SSR,flee,Mentaru,,体力消費1,元気+9,消費体力削減2,,,レッスン中1回,重複不可
アイドル魂,SSR,flee,Mentaru,2,レッスン開始時手札に入る,元気+6,低下状態無効1回,スキルカード使用数追加+1,,レッスン中1回,重複不可
アイドル魂+,SSR,flee,Mentaru,2,レッスン開始時手札に入る,元気+6,低下状態無効1回,スキルカード使用数追加+2,次のターン、手札をすべてレッスン中強化,レッスン中1回,重複不可
仕切り直し,SSR,flee,Mentaru,5,手札をすべて入れ替える,消費体力減少4ターン,スキルカード使用数追加+1,スキルカードを2枚引く,,レッスン中1回,重複不可
仕切り直し+,SSR,flee,Mentaru,2,手札をすべて入れ替える,消費体力減少4ターン,スキルカード使用数追加+2,スキルカードを2枚引く,,レッスン中1回,重複不可
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ファンサの基本,N,logic,Active,2,好印象の100％分パラメーター上昇,,,,,レッスン中1回,
ファンサの基本+,N,logic,Active,2,好印象の130％分パラメーター上昇,,,,,レッスン中1回,
アイコンタクトの基本,N,logic,Active,,体力消費3,やる気が3以上の場合、使用可,元気の100％分パラメーター上昇,,,レッスン中1回,
